Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
3H5NVRLU,newspaperArticle,2020,"Voelk, Tom",New Safety Features in Cars (or Just New to You),The New York Times,,0362-4331,,https://www.nytimes.com/2020/10/08/business/new-car-safety-features.html,"Their names are hard to keep straight, but they will keep you between the lines and even brake for you. And more tech is coming.",10/8/2020,9/22/2021 15:21,9/22/2021 15:21,5/16/2021 17:43,,,,,,,,,,,,,,en-US,,,,,NYTimes.com,,,,C:\Users\Quan\Zotero\storage\2QWPZUXV\new-car-safety-features.html; C:\Users\Quan\Zotero\storage\PY45ULGX\Voelk - 2020 - New Safety Features in Cars (or Just New to You).pdf,,,Driver Distraction and Fatigue; Roads and Traffic; Traffic Accidents and Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business,,,,
DFUL55ZQ,report,2012,"Hommes, Qi Van Eikema",Review and Assessment of the ISO 26262 Draft Road Vehicle - Functional Safety,,,,,https://www.sae.org/publications/technical-papers/content/2012-01-0025/,ISO 26262 is the first comprehensive automotive safety standard that addresses the safety of the growing number of electric/electronic and software intensive features in today's road vehicles. This paper assesses the standard's ability to provide safety assurance. The strengths of the standard are:,4/16/2012,9/22/2021 15:21,9/22/2021 15:21,5/16/2021 17:08,,,,,,,,,,,,SAE International,"Warrendale, PA",English,,SAE Technical Paper,,,www.sae.org,,"Issue: 2012-01-0025 ISSN: 0148-7191, 2688-3627 DOI: 10.4271/2012-01-0025",,,,,,,,,,,,,,,,,,,,,,,,2012-01-0025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ8ENKWQ,webpage,2021,,ISO 26262-3:2018,ISO,,,,https://www.iso.org/cms/render/live/en/sites/isoorg/contents/data/standard/06/83/68385.html,Road vehicles — Functional safety — Part 3: Concept phase,5/16/2021,9/22/2021 15:21,9/22/2021 15:21,5/16/2021 17:07,,,,,,,ISO 26262-3,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNKYWC2A,webpage,2021,,Crash Records Forms,,,,,https://www.txdot.gov/government/enforcement/crash-records.html,,5/16/2021,9/22/2021 15:21,9/22/2021 15:21,5/16/2021 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX3RIX4D,webpage,2021,,A future beyond brick and mortar: Disruption in automotive retail | McKinsey,,,,,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/a-future-beyond-brick-and-mortar-disruption-in-automotive-retail,,5/16/2021,9/22/2021 15:21,9/22/2021 15:21,5/16/2021 17:27,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Quan\Zotero\storage\92HDEIAC\2021 - A future beyond brick and mortar Disruption in au.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA7NTIQH,webpage,,,My Drive - Google Drive,,,,,https://drive.google.com/drive/u/1/my-drive,,,11/2/2022 16:11,11/2/2022 16:11,11/2/2022 16:11,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Quan\Zotero\storage\QSD4T3UN\my-drive.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87YMTBUR,journalArticle,2022,"Haus, Samantha H.; Gershon, Pnina; Mehler, Bruce; Reimer, Bryan",Speeding Behavior when Using Automation: A Descriptive Analysis of Naturalistic Driving Data,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,,2169-5067,10.1177/1071181322661226,https://doi.org/10.1177/1071181322661226,"Speeding is a prevalent and risky behavior. This study leveraged the MIT Advanced Vehicle Technology naturalistic driving data to identify and characterize speeding behavior across automation levels including Manual Driving, Adaptive Cruise Control (ACC), and Pilot Assist (PA) that supports both longitudinal and lateral vehicle control. We analyzed 146 hours of motorway driving from 15 participants who each drove an instrumented vehicle for one month. Speeding prevalence, magnitude, and duration distributions were compared across automation levels using logistic mixed effect models. Findings indicated that although PA was the most prevalent driving state during free flow motorway driving, drivers were more likely to speed with ACC compared to during Manual Driving or with PA. Automation, ACC and PA, were associated with longer speeding durations and lower speeding magnitudes compared to driving manually. These findings can inform the development of automation systems that may help reduce speeding behaviors and promote safe driving.",9/1/2022,11/1/2022 15:51,11/1/2022 15:51,11/1/2022 15:51,1471-1475,,1,66,,,Speeding Behavior when Using Automation,,,,,,,en,,,,,SAGE Journals,,Publisher: SAGE Publications Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IACHA6EX,journalArticle,2022,"Reagan, Ian J.; Cicchino, Jessica B.; Teoh, Eric R.; Reimer, Bryan; Mehler, Bruce; Gershon, Pnina",Behavior Change over Time When Driving with Adaptive Cruise Control,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,,2169-5067,10.1177/1071181322661191,https://doi.org/10.1177/1071181322661191,"A field operational test assessed visual-manual disengagement when driving with adaptive cruise control (ACC) relative to manual driving. Ten volunteers drove instrumented vehicles on public roads for 4 weeks, using the vehicles as they would their own. To study change over time, the 4-week trial was divided evenly into two periods. Analyses were based on video of drives on limited-access highways when speed was above 25 mph. Visual-manual disengagement from driving was defined as periods when drivers had both hands off the steering wheel or performed visual-manual secondary activity with electronics. Odds of visual-manual disengagement increased from period 1 (weeks 1 and 2) to period 2 (weeks 3 and 4) more during ACC use than during manual driving. Conversely, odds of cellphone manipulation and hands-offwheel behavior increased in period 2 during manual driving only, suggesting a nuanced connection between behavioral adaptation to ACC use after a month of exposure.",9/1/2022,11/1/2022 15:50,11/1/2022 15:50,11/1/2022 15:50,352-356,,1,66,,,,,,,,,,en,,,,,SAGE Journals,,Publisher: SAGE Publications Inc,,C:\Users\Quan\Zotero\storage\2SM66XZX\Reagan et al. - 2022 - Behavior Change over Time When Driving with Adapti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PWXH53G,webpage,,,Advanced driver assistance,IIHS-HLDI crash testing and highway safety,,,,https://www.iihs.org/topics/advanced-driver-assistance,"Information from IIHS-HLDI on advanced driver assistance systems, including crash avoidance technologies and automation",,10/25/2022 22:17,10/25/2022 22:17,10/25/2022 22:17,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\Quan\Zotero\storage\BE8KATEZ\advanced-driver-assistance.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922WYV2,webpage,,,IIHS creates safeguard ratings for partial automation,IIHS-HLDI crash testing and highway safety,,,,https://www.iihs.org/news/detail/iihs-creates-safeguard-ratings-for-partial-automation,Vehicles with partial automation need to have safeguards in place to help drivers stay focused on the road. IIHS is developing a ratings program to evaluate attention reminders and other measures.,,10/25/2022 22:17,10/25/2022 22:17,10/25/2022 22:17,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\Quan\Zotero\storage\BK36YGW8\iihs-creates-safeguard-ratings-for-partial-automation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
