Complete,Reference Information,,,,,,,,,,,,,,,,,,,,Findings (categories),,,,,,,,,,,,,,,,,,,
,ID,Database,Database ID,Citation,Title,"Title Screen (1 = include, 2 = possibly include, 3 = probably exclude, 4 = exclude)",Link,Abstract,"Abstract Screen (1 = include) - includes “ADAS”, “Level 2”, “Level 3”, “driver assistance”, “crash avoidance”, and/or “automation/automated/autonomous”","Exclude (0) if:  Solely focused on driver use (e.g. takeover), alert type, sensors/tech, or any human/machine-interface focus",Divide into Pre-ownership (1) and post-crash (2),Need to discuss whether fits screening? (1) if yes,Have PDF,Reader name,Author(s),Year,"Type of resource (e.g., Journal article, Dissertation/thesis, Book chapter, Technical report, Conference paper, Popular media article)",Study location,Methods,Sample size,ADAS overview/general,"Availability (by type, cost, etc)",Utility/Usage,Vulnerable road users,Findings on Gender/Age,Car buying process,Seller info and training,Marketing and ads,Online sellers,"Mandates, policy & regulatory issues",Safety effects of ADAS,Police and ADAS,Post-crash data collection,"User knowledge, trust, acceptance and education",Legal issues,Limitations/Caveats,Key suggestions for future research,Funding source,Other notes,Read whole article already (Yes/No)
1,25,DOI,10.3141/2660-02,"Abraham, H., McAnulty, H., Mehler, B., & Reimer, B. (2017). Case study of today’s automotive dealerships: Introduction and delivery of advanced driver assistance systems. Transportation research record, 2660(1), 7-14.",Case Study of Today’s Automotive Dealerships: Introduction and Delivery of Advanced Driver Assistance Systems,1,https://doi.org/10.3141/2660-02,"Vehicle manufacturers have developed advanced driver assistance systems (ADASs) to reduce driver workload and enhance safety. The delivery of these systems to consumers occurs through dealerships not owned by manufacturers. Limited research is available on how dealerships provide consumers with information and training on ADASs. In an exploratory study seeking information on new safety technologies, semistructured blind interviews of salespeople at 18 Boston, Massachusetts, area dealerships were conducted in the context of potential vehicle purchase across six vehicle brands. Although some dealerships were making concerted efforts to introduce and educate customers on ADASs, a number of salespeople interviewed were not well positioned to provide adequate information to their customers. In select instances, salespeople explicitly provided inaccurate information on safety-critical systems. The dealerships in the sample that represented mass-market brands (Ford and Chevrolet) were the poorest performers. Sales staff at Subaru dealers were well trained and had print and digital content to drive consumer engagement. Educational staff, or ?geniuses,? at BMW dealers presented a potentially innovative way of segmenting the sales process from technology education. In the absence of some technology introduction and education at dealerships, consumers may remain underinformed or misinformed about the disruptive safety technologies that are rapidly being introduced across the vehicle fleet.",1,,1,,Yes,Kelly Brasseaux,"Abraham, H., McAnulty, H., Mehler, B., & Reimer, B",2017,Journal Article,"Cambridge, MA","Blind interviews. Researchers went to dealerships during slow periods and conducted interviews with the first salesperson who approached them or was assigned to them, asked, “We’re starting to look at cars and safety is really important to us. We’ve noticed there are a lot of new safety technologies that are being introduced in vehicles. Can you tell me more about the new advanced safety technologies in your cars?” and additional questions, revealed the study, asked additional questions, gave option to withdraw from the study.","18 Boston, Massachusetts, area dealerships",,,,,,,"""Six of the 17 salespeople who assisted the research team were able to provide a thorough explanation of the safety technologies. Seven salespeople gave satisfactory explanations, and four gave poor explanations. Two salespeople gave explicitly incorrect safety-critical information about at least one system...Generally, safety brands gave thorough explanations of the technology, luxury brands gave satisfactory explanations, and mass-market brands gave poor explanations. Both individuals who provided incorrect safety-critical information were in the poor category and from mass-market dealerships."" (Abraham et al., 2017, p. 9-10)",,,,,,,,,,"Use a larger sample, research relationship between consumer education and salesperson compensation (commissioned vs salaried), ""relationships between customer education and staff turnover rates at dealerships, individual salespeople’s trust in technology, and purchasers of different ages or genders"" (Abraham et al., 2017, p. 13)",,Article provides examples of questions to ask and methodology that could be helpful for this study,Y
1,6,DOI,10.1016/j.tra.2013.07.007,"Baltas, G., & Saridakis, C. (2013). An empirical investigation of the impact of behavioural and psychographic consumer characteristics on car preferences: An integrated model of car type choice. Transportation Research Part A: Policy and Practice, 54, 92-110.",An empirical investigation of the impact of behavioural and psychographic consumer characteristics on car preferences: An integrated model of car type choice,3,https://www.sciencedirect.com/science/article/pii/S0965856413001298,"Based on the data collected from a large-scale survey research of 1622 consumers, the present paper develops a disaggregate, compensatory choice model to collectively examine the impact of under-examined factors on consumer car type choice behaviour. All existing econometric forecasting models of vehicle type choice in the literature have so far considered objective measures as determinants of vehicle type choice. The proposed choice model considers 12 car-type alternatives and is successively extended to allow for choice probability distortions resulting from individual heterogeneity across a set of 30 variables, related to objective, behavioural and psychographic consumer characteristics. The results provide clear evidence that variables such as purpose of car use, prepurchase information source used, consumer’s proneness towards buying an ecological car, consumer’s involvement with cars, and consumer’s attachment to cars, significantly affect car type choice. The results yield important implications for manufacturers, transportation planners and researchers.", ,0,1,,Yes,Kelly Brasseaux,"Baltas, G., & Saridakis, C.",2013,Journal Article,"Athens, Greece; Leeds, UK", survey of 1622 adults with drivers licences and a multinomial logit model,1622 adults,,,,,,"many factors, including those which are considered “intangible”, have a significant effect on car type preferences. Variables included in the survey which were all found to affect car type choice were: importance of car characteristics, demographics, driver’s characteristics, basic purpose of car use, prepurchase information sources used, consumer involvement with cars, and consumer attachment to cars.  The study identified 12 segments of car buyers, each of which prefers a different car type and has similar characteristics which make them more likely to choose that car type. ",,,,,,,,,,does not examine what factors affect a car buyer’s likelihood to opt into ADAS technology or choose a vehicle with ADAS technology ,,,,Y
1,27,DOI,10.1016/j.tra.2017.01.012,"Hafner, R. J., Walker, I., & Verplanken, B. (2017). Image, not environmentalism: A qualitative exploration of factors influencing vehicle purchasing decisions. Transportation Research Part A: Policy and Practice, 97, 89-105.","Image, not environmentalism: A qualitative exploration of factors influencing vehicle purchasing decisions",0,http://www.sciencedirect.com/science/article/pii/S0965856417300253,"Previous quantitative research has suggested people take environmental impact into account when choosing cars, and are largely uninfluenced by issues of image. However, neither of these claims appears to reflect current car buying behaviour in the UK. We hypothesised this may be due to the nature of the questions typically used in earlier research, which may have prompted participants to consider environmental issues, and downplay the role of image, more than they would spontaneously. The current research provides a qualitative exploration of factors important to people when deciding which car to buy. Open-ended discussion with recent car-buyers revealed the factors which were most important during the participants’ decision making processes, without prompting participants to agree with ideas raised by the experimenter. These issues were explored in two studies, using a series of focus groups (Study 1), and one-on-one interviews (Study 2). In both studies, the two most central factors were issues of practicality and finance, consistent with previous research. However, unlike in previous research, both studies found image had substantial impact on purchasing decisions. Further, earlier explicit surveys claimed people often considered environmental factors when choosing a vehicle, yet these were hardly mentioned in the current studies. This highlights the importance of using a range of research methods when studying personal travel decisions. Key areas for follow-up research and implications for policy makers aiming to increase uptake sales of low-carbon cars are discussed.", ,,,1,Yes,Kelly Brasseaux,Hafner et al.,2017,Journal Article,"Bath, UK",Focus group,25,,,,,,the most important factors when buying a car were practicality and image. Less than 2% of total comments in the focus groups and interviews were about environmental considerations.,,,,,,,,,,the small sample size (36 total people interviewed) could lead to skewed data,,,,Y
1,37,"Australian, The. 05/23/2018.",9X9AUSNEWSMMGLSTRY000371105414,"Adrienne Roberts. (2018, May 23). Why dealers fail to sell a car’s hi-tech features. Australian, The, 23.",Why dealers fail to sell a car’s hi-tech features,2,https://proxy.library.tamu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=n5h&AN=9X9AUSNEWSMMGLSTRY000371105414&site=ehost-live,"Most new cars nowadays can be outfitted with advanced safety gear, but showroom salespeople often fail to promote the technology’s benefits. As a result, drivers are missing out on features that, although costly, could possibly save their lives.Few new-car buyers bother to try out so-called advanced driver assist systems, which include automatic braking, lane-keeping aids and adaptive cruise control — technology proven to keep drivers safer. A recent McKinsey & Company study estimates 70 per cent of car shoppers are aware of such features, but only a third try them out on a test drive.Shoppers lack detailed knowledge of advanced safety packages partly because many dealers don’t stock cars with the software-driven options, which can add as much as $US6000 ($7921) to the base price.Many salespeople would rather focus on selling more cars than spend time explaining safety technology to customers, researchers say. That is partly because they aren’t well-versed in how the technologies work.Massachusetts Institute of Technology AgeLab researchers recently polled dealer salespeople and found six of the 17 interviewed could properly explain the technology.“Ultimately, it seemed to come down to lack of training, high turnover and the expectation of more work post-sale,” said Hillary Abraham, one of the study’s authors. She said that even if a customer opted for a car with the technology, the salesperson was less likely to explain the safety features as there is no financial gain.The Boston Consulting Group estimates that about 30 per cent of traffic fatalities could be reduced if all new cars had a standard advanced safety package. US vehicle deaths remained near decade-highs in 2017, topping 40,000 for the second year in a row, according to the National Safety Council.The average customer spends at least two hours at a dealership when buying a car, but most of that time is devoted to setting up financing, according to a J.D. Power survey. Customers spend less than 30 minutes taking delivery of the vehicle, during which time a salesperson explains the features.Recognising that salespeople don’t have time to explain all the new technology that cars offer today, from Bluetooth to advanced safety packages, dealers like Quirk Ford outside Boston are using teenagers to inform the customer after the sale has been made. General Manager Mike Quirk said he thought of using the group of 10 teenagers after realising that salespeople would rush through the process.“Technology is constantly changing, and it’s a time-consuming process (to explain),” Mr Quirk said. “We found that in the sales process you don’t have time to do that.” For car manufacturers weathering an industry downturn, the relative lack of adoption of safety packages means they are losing out on an opportunity to increase per-car margins. Car companies could force greater adoption of safety features if they make them more affordable or include them in the price of new cars, analysts say.However, mass-market automakers such as Honda, Subaru and Toyota are making their safety packages standard on models such as the 2019 Subaru Ascent, 2018 Honda Accord and the 2018 Toyota Camry.Luxury-car brands typically include advanced safety gear in their offerings. Among mass-market brands, Nissan is one of the first to make its driver-safety package a standard feature.Dan Mohnke, Nissan’s head of sales in North America, said he realised the benefits of the company’s advanced safety offering, called ProPilot Assist, weren’t being communicated effectively.“We’re working on an ‘invertising’ program just with our employees and our dealers, just from a standpoint of getting everyone to understand the technologies that we have and the advantage that those technologies bring,” he said.",1,,,,No,Quan Sun,Roberts,2018,newspaper article,"Boston, Detroit",Using interviews and synthesizing previous relevant literature,,,,,,,,,"Roberts found that several reasons contribute to auto dealers struggling to explain ADAS features to customers. These reasons include: many dealers don’t stock ADAS features due to cost (additional $ 6,000 over base price), the salesperson might not be well trained on ADAS features due to high salesperson turnover rate and technology rapid updates, the lack of time during car selling, as well as aversion of more post-sale work. It was also noticed that luxury brands typically include the ADAS features on their model, while mass-market models are inclined to take the ADAS features as an addition to their base model.",,,,,,,,"this is not a peer-reviewed article, the robustness of the findings are remained to be tested.",,,,N
1,38,ISSN,2169-5067,"Hoyos, C., Lester, B. D., Crump, C., Cades, D. M., & Young, D. (2018, September). Consumer perceptions, understanding, and expectations of Advanced Driver Assistance Systems (ADAS) and vehicle automation. In Proceedings of the Human Factors and Ergonomics Society Annual Meeting (Vol. 62, No. 1, pp. 1888-1892). Sage CA: Los Angeles, CA: SAGE Publications.","Consumer perceptions, understanding, and expectations of Advanced Driver Assistance Systems (ADAS) and vehicle automation",1,https://doi.org/10.1177/1541931218621429,"Consumers are faced with an increasingly complex decision process as novel safety technologies become commonplace in new vehicles. Consumers’ knowledge of these systems is potentially limited given the recent introduction and constant evolution of ADAS. We examined consumers’ understanding and perceptions of ADAS and vehicle automation in a national survey. Our analysis focused on consumers’ understanding of how certain driving tasks that can be automated (e.g., steering, braking, navigation, etc.) maps onto proposed levels of vehicle automation. Additionally, we report what sources of information and methods of education consumers prefer to utilize when learning about new safety systems. These data can inform new driver training, public policy and transportation goals of how best to educate the motoring public about new vehicle technologies and the capabilities of next-generation automated vehicles as well as facilitate public acceptance of higher levels of vehicle automation.",1,,,,Yes,Kelly Brasseaux,Hoyos et al. ,2018,Journal Article,Online Survey based in America,Online Survey,341,,,,,,,,,,,,,,"Hoyos et al. (2018) found that, by far (p’s<0.01), the number one way that people prefer to learn how to use the safety features of a vehicle they may purchase is at the dealership, but in practice it is more common for people to learn using the internet (33% of respondents) opposed to asking the salesperson (11% of respondents). Additionally, most people understand that partially autonomous/driver assistance systems do not replace the driver and perform less functions than fully autonomous systems.",,"Hoyos et al. (2018) rely on participants self-reporting their sources of information which could lead to misrepresentations of the reality. The limited options in the survey for sources of information about safety and technology systems (owner’s manual, internet research, using the vehicle, salesperson(s), and I am not interested in learning) also limits potential responses, excluding other potential sources of information like conversations with friends or the news.",Additional research could consider how different characteristics of the participants could have affected their responses besides age.,,,Y
1,44,ISSN,0361-1981,"Nylen, A. B., Reyes, M. L., Roe, C. A., & McGehee, D. V. (2019). Impacts on driver perceptions in initial exposure to ADAS technologies. Transportation research record, 2673(10), 354-360.",Impacts on Driver Perceptions in Initial Exposure to ADAS Technologies,1,https://doi.org/10.1177/0361198119847975,"Advanced driver assistance systems (ADAS) offer great promise in improving the safety of our roadways. Although ADAS have rapidly entered the U.S. passenger vehicle market, little is known about driver understanding and attitudes toward ADAS, especially the impact of their initial exposure to the technologies. Whereas some ADAS may be easy to learn and use, others are more complex and have limitations that may not be obvious to the driver. The Technology Demonstration Study was conducted to evaluate how the ways in which drivers learn about ADAS affect their knowledge and perceptions of the technology. Two base learning methods were utilized for the study, both of which are traditional forms of learning for the average driver: reading the owner’s manual and making observations inside the vehicle. From these base learning methods, four learning protocols were developed, two of which included both methods. This paper investigates how drivers’ perceptions of usefulness, apprehension, and trust with regard to ADAS functionality were affected by initial exposure to the technology. Participants who observed ADAS during a demonstration drive had more positive perceptions relative to those who only read about them, particularly for ADAS that provide vehicle control.",,,,,Yes,Quan Sun,Nylen et al.,2019,Journal Article,"University of Iowa faculty, staff, and students.",Using a training experiment to compare user manual and driving demonstration,120,,,,,,,,,,,,,,"Nylen et al. found that a ride-along demonstration significantly increases drivers’ first impression of the ADAS systems’ usefulness, apprehension, and trust. Seeing the ADAS system operation gives drivers with no prior experience with ADAS a more developed mental model of the function and limitations.",," the study has two constraints. First, drivers in the users’ manual training group were not allowed to ask questions, which could hinder their ability to absorb the information. Second, the drivers did not have a chance to test the ADAS after the training protocol.",Future research should consider allowing for a test drive after training and observing the behavior.,,,Y
1,50,ISSN,2590-1982,"Boelhouwer, A., Van den Beukel, A. P., Van der Voort, M. C., Hottentot, C., De Wit, R. Q., & Martens, M. H. (2020). How are car buyers and car sellers currently informed about ADAS? An investigation among drivers and car sellers in the Netherlands. Transportation Research Interdisciplinary Perspectives, 4, 100103.",How are car buyers and car sellers currently informed about ADAS? An investigation among drivers and car sellers in the Netherlands,1,https://www.sciencedirect.com/science/article/pii/S2590198220300142,"This study provides a comprehensive overview of the way consumers and car sellers are currently informed about Advanced Driver Assistance Systems (ADAS). In order to gain any economical, comfort and safety benefits from automated car systems, drivers need to know how to safely and efficiently use them. Still, it remains largely unknown if, and how, consumers are informed about ADAS when buying a car. Naturally, sales staff has to be accurately informed and instructed as well to inform customers. Two separate nationwide surveys were administered among consumers and car sellers across The Netherlands to gain insight on how they are currently informed about ADAS. The results of our study show several issues about the way that both consumers and car sellers are informed about ADAS. First, almost a quarter of the drivers did not receive any information about the ADAS in the car that they bought. Of the drivers that did receive information, only 9% was able to try out the automated systems before taking the car home. Almost 40% of the car sellers did not receive (sufficient) information about ADAS. However, brand dealers more often received sufficient information about ADAS compared to independent dealers. These issues need to be addressed now to avoid unsafe use of ADAS, but also unsafe use of more complex automated systems that are being incorporated into commercial cars. We propose several opportunities for improvement and standardization which may be implemented by the automotive industry, stakeholder organizations or the government.\",1,,1,,Yes,Kelly Brasseaux,"Boelhouwer, A., Van den Beukel, A. P., Van der Voort, M. C., Hottentot, C., De Wit, R. Q., & Martens, M. H.",2020,Journal Article,"Enschede, The Netherlands",2 nation-wide surveys: 1 to car sellers and 1 to customers,"customer survey: 713 responses, car seller survey: 336 responses",,,,,,,,,,,,,,,,,,,,Y
1,54,ISSN,2590-1982,"Dixon, L. (2020). Autonowashing: The greenwashing of vehicle automation. Transportation research interdisciplinary perspectives, 5, 100113.",Autonowashing: The Greenwashing of Vehicle Automation,1,https://www.sciencedirect.com/science/article/pii/S2590198220300245,"The presence of automation is growing in the domains of our homes, workplaces, and roadways. Vehicle automation in particular is raising critical human factors issues which directly impact human-machine interaction and road safety. It is especially important that users of partial and semi-autonomous systems in safety-critical contexts understand the limitations of the technology, in order to ensure appropriate reliance. Studies indicate that media and marketing descriptions of vehicle automation affect user perceptions of asystem's capabilities, and later their interaction with the system. Much like “greenwashing”, the capabilities of automation are often overstated. The lack of public awareness of this issue is one of the most critical problems impacting trust calibration and the safe use of vehicle automation. Yet, it has gone unnamed and continues to affect the public understanding of the technology. Hence, the case for the use of the term “autonowashing” to describe the gap in the presentation of automation and the actual system capabilities is put forth. This paper presents case studies and discusses key issues in autonowashing, a term/concept that influences or relates to public perceptions of vehicle automation.",,,,1,Yes,Quan Sun,"Dixon, Liza",2020,Journal Article,,"Using case studies of Media headlining, Tesla Auto Pilot, and Mercedes E-Class",,,,,,,,,"authors Dixon introduced the term “Autowashing,” which is analogous to “Greenwashing” to falsely introduce the public to the capacities of autonomous driving technologies. Auto washing harms the adoption of automation by first leading to overtrust and misuse of the system, resulting in accidents, negative media coverage, and, eventually, public distrust of the system. Dixon found that the lack of a regulatory body overseeing the language used to describe ADAS Originally Equipped Manufacturers (OEM) is one primary reason for Autowashing. Investors seeking a quick return on their investment is another reason.",,,,,,,,the study mainly focused on introducing the term “Autowashing.” To what extent Autowashing affects consumers’ knowledge and trust is not the focus of the study.,The author suggested that future research can expand the concept of Autowashing to other Automation tasks beyond autonomous driving.,,,Y
1,65,ISSN,0003-6870,"Ebnali, M., Lamb, R., Fathi, R., & Hulme, K. (2021). Virtual reality tour for first-time users of highly automated cars: Comparing the effects of virtual environments with different levels of interaction fidelity. Applied Ergonomics, 90, 103226.",Virtual reality tour for first-time users of highly automated cars: Comparing the effects of virtual environments with different levels of interaction fidelity,1,https://www.sciencedirect.com/science/article/pii/S0003687020301782,"Research in aviation and driving has highlighted the importance of training as an effective approach to reduce the costs associated with the supervisory role of the human in automated systems. However, only a few studies have investigated the effect of training on highly automated driving. Moreover, available interactive trainings are mostly based on automated driving simulators and the application of immersive technology such as Virtual Reality (VR) as a low-cost training solution has not been widely adopted. In this study, we developed three types of familiarization tours (low-fidelity VR, high-fidelity VR, and video) to train first-time users of highly automated cars. Then, the effectiveness of these tours was investigated on automation trust and driving performance in several critical and non-critical transition tasks in four groups: control, video, low-fidelity VR, and high-fidelity VR. The results revealed the positive impact of the tours on trust and transition performance at the first time of measurement. Takeover quality only improved when practices were presented in high-fidelity VR. After three times of exposure to transition requests, trust and transition performance of all groups converged to those of the high-fidelity VR group, demonstrating that: a) experiencing takeover transition during the training may reduce costs associated with first critical takeover request in highly automated driving, b) the VR tour with high level of interaction fidelity was superior to other training methods, and c) untrained and less-trained drivers learned about automation after a few trials. Knowledge resulting from this research could help develop cost-effective solutions for automated driving training in dealerships and car rental centers.",,,,,Yes,Kelly Brasseaux,"Ebnali, M., Lamb, R., Fathi, R., & Hulme, K.",2021,Journal Article,"Three colleges (unspecified which colleges, but should be US focused)","Using a series of three types of familiarisation tours (low-fidelity VR [virtual reality], high-fidelity VR, and video)",97,,,,,,,,,,,,,,"authors Ebnali et al. (2021) found that high-fidelity VR trainings (in which trainees use a steering wheel opposed to a handheld game controller) are highly effective in building trust in and knowledge of automated driving technologies. Those who underwent high-fidelity tours of the systems had better takeover and transition performance. Additionally, repeated trials lead to increased knowledge regardless of training type",," the study is limited due to participants’ expectation of takeover events, which could overrepresent their trust and skill levels",,,,Y
1,71,ISSN,1932-6203,"Oviedo-Trespalacios, O., Tichon, J., & Briant, O. (2021). Is a flick-through enough? A content analysis of Advanced Driver Assistance Systems (ADAS) user manuals. Plos one, 16(6), e0252688.",Is a flick-through enough? A content analysis of Advanced Driver Assistance Systems (ADAS) user manuals,1,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252688,"Advanced Driver Assistance Systems (ADAS) are being developed and installed in increasing numbers. Some of the most popular ADAS include blind spot monitoring and cruise control which are fitted in the majority of new vehicles sold in high-income countries. With more drivers having access to these technologies, it is imperative to develop policy and strategies to guarantee the safe uptake of ADAS. One key issue is that ADAS education has been primarily centred on the user manual which are not widely utilised. Moreover, it is unclear if user manuals are an adequate source of education in terms of content and readability. To address this research gap, a content analysis was used to assess the differences in ADAS-related content and readability among the manuals of the highest selling vehicles in Australia. The qualitative findings showed that there are seven themes in the user manuals: differences between driving with and without ADAS, familiarisation requirements, operational limits of the ADAS, potential ADAS errors, behaviour adaptation warnings, confusion warnings, and malfunction warnings. The quantitative analysis found that some of the manuals require several years of education above the recommended for a universal audience (>8 years) to be understood. Additionally, there is a notable number of text diversions and infographics which could make comprehension of the user manual difficult. This investigation shows that there is a lack of standardisation of ADAS user manuals (in both content and delivery of information) which requires regulatory oversight. Driver ADAS education needs to be prioritised by policymakers and practitioners as smart technology continues to increase across the transport system. It seems that current strategies based on user manuals are insufficient to achieve successful adoption and safe use of these technologies.",,,,,Yes,Kelly Brasseaux,Oviedo-Trespalacios et al.,2021,Journal Article,Australia,Using a content analysis of the user manuals for the nine top selling vehicles in Australi,9,,,,,,,,,,,,,,"Oviedo-Trespalacios et al. (2021) found that user manuals require an inordinate amount of education to understand. Additionally, user manuals tend to not include key themes such as malfunctions of ADAS and the need for familiarisation",,,"Future research should investigate the most effective methods of educating users of ADAS to compensate for the ineffectiveness of user manuals. Additionally, because of the limited scope of this study (only includes user manuals distributed in Australia), future research could investigate the contents and readability of American user manuals ",,,Y
